id;id_local;zona;secao;local;PL;PT;brancos;nulos;abstencoes;total
1;34;93;1;1015;161;64;1;3;87;316
2;34;93;2;1015;154;69;3;6;75;307
3;34;93;3;1015;133;79;6;12;81;311
4;34;93;4;1015;122;73;6;3;107;311
5;34;93;5;1015;146;85;3;4;78;316
6;34;93;6;1015;145;79;4;9;96;333
7;8;93;7;1023;146;61;1;9;113;330
8;8;93;8;1023;158;64;2;6;94;324
9;8;93;9;1023;155;64;5;8;89;321
10;8;93;10;1023;148;65;1;6;102;322
11;8;93;11;1023;145;74;4;7;86;316
12;8;93;12;1023;173;57;3;7;83;323
13;8;93;13;1023;148;61;9;4;97;319
14;2;93;14;1031;157;80;1;6;116;360
15;2;93;15;1031;171;86;2;4;96;359
16;2;93;16;1031;174;78;3;8;94;357
17;2;93;17;1031;196;78;6;11;67;358
18;3;93;18;1058;168;75;3;6;93;345
19;3;93;19;1058;176;78;5;5;86;350
20;3;93;20;1058;169;79;3;6;94;351
21;3;93;21;1058;182;66;5;7;88;348
22;3;93;22;1058;187;64;4;4;90;349
23;6;93;51;1090;170;48;3;5;78;304
24;6;93;52;1090;166;38;2;6;91;303
25;6;93;53;1090;170;36;3;6;85;300
26;6;93;54;1090;164;49;4;9;73;299
27;6;93;55;1090;176;53;3;2;79;313
28;6;93;56;1090;168;48;6;11;71;304
29;6;93;57;1090;172;55;2;6;94;329
30;6;93;58;1090;164;54;8;9;66;301
31;6;93;59;1090;165;49;1;7;77;299
32;6;93;60;1090;164;45;5;2;91;307
33;6;93;61;1090;158;48;4;7;88;305
34;6;93;62;1090;161;39;4;6;95;305
35;6;93;63;1090;174;40;0;7;81;302
36;6;93;64;1090;179;31;2;5;88;305
37;6;93;65;1090;185;36;1;5;81;308
38;18;93;91;1139;179;50;4;4;111;348
39;18;93;92;1139;195;52;4;6;95;352
40;18;93;93;1139;182;47;5;7;106;347
41;18;93;94;1139;190;56;4;8;89;347
42;18;93;95;1139;190;46;2;8;103;349
43;18;93;96;1139;177;60;3;9;99;348
44;18;93;97;1139;168;56;2;10;108;344
45;18;93;98;1139;173;74;3;5;94;349
46;18;93;99;1139;187;53;3;9;105;357
47;18;93;100;1139;214;49;4;16;64;347
48;18;93;101;1139;200;66;4;12;63;345
49;18;93;102;1139;203;46;2;4;95;350
50;7;93;103;1147;210;61;3;10;95;379
51;7;93;104;1147;199;61;3;11;109;383
52;7;93;105;1147;205;69;7;6;95;382
53;7;93;106;1147;212;68;1;4;98;383
54;7;93;107;1147;203;69;1;7;98;378
55;7;93;108;1147;203;64;3;18;90;378
56;7;93;109;1147;224;51;9;7;91;382
57;7;93;110;1147;207;52;4;5;111;379
58;7;93;111;1147;212;64;0;7;97;380
59;7;93;112;1147;213;65;6;1;89;374
60;9;93;113;1155;201;64;1;7;84;357
61;9;93;114;1155;186;56;4;6;103;355
62;9;93;115;1155;185;73;2;9;87;356
63;9;93;116;1155;191;57;8;10;86;352
64;9;93;117;1155;185;59;4;9;98;355
65;9;93;118;1155;173;71;8;8;94;354
66;9;93;119;1155;191;65;5;5;86;352
67;9;93;120;1155;171;58;3;11;110;353
68;9;93;121;1155;190;54;1;15;98;358
69;15;93;122;1163;224;59;5;6;92;386
70;15;93;123;1163;206;60;5;7;108;386
71;15;93;124;1163;215;70;4;8;90;387
72;15;93;125;1163;218;51;3;10;103;385
73;15;93;126;1163;209;61;3;11;97;381
74;15;93;127;1163;220;67;4;6;89;386
75;15;93;128;1163;225;69;1;10;76;381
76;9;93;141;1155;224;72;3;6;57;362
77;2;93;143;1031;190;81;3;10;73;357
78;9;93;145;1155;214;62;5;12;55;348
79;2;93;146;1031;187;99;6;7;59;358
80;9;93;147;1155;204;76;11;9;48;348
81;6;93;154;1090;211;56;2;12;26;307
82;7;93;155;1147;255;66;7;10;43;381
83;2;93;157;1031;183;119;5;9;69;385
84;4;93;164;1180;220;73;8;17;76;394
85;4;93;167;1180;230;77;10;10;65;392
86;7;93;169;1147;265;75;4;7;42;393
87;15;93;175;1163;258;59;4;12;55;388
88;9;93;178;1155;225;62;2;3;59;351
89;4;93;179;1180;217;78;11;12;74;392
90;5;93;181;1244;203;97;5;12;75;392
91;3;93;185;1058;185;80;3;6;74;348
92;15;93;190;1163;225;96;3;10;51;385
93;7;93;192;1147;221;73;5;14;62;375
94;5;93;195;1244;200;84;6;15;78;383
95;4;93;197;1180;217;77;5;15;72;386
96;3;93;201;1058;199;61;1;15;77;353
97;2;93;202;1031;208;101;4;7;63;383
98;8;93;203;1023;174;72;5;5;64;320
99;34;93;204;1015;141;101;5;9;53;309
100;15;93;207;1163;233;85;5;9;54;386
101;28;93;208;1384;237;94;3;9;56;399
102;35;93;219;1260;215;95;5;7;50;372
103;8;93;220;1023;150;80;3;8;81;322
104;5;93;222;1244;194;97;2;6;84;383
105;35;93;229;1260;226;92;1;10;41;370
106;5;93;235;1244;201;91;1;14;79;386
107;3;93;236;1058;191;78;2;9;64;344
108;35;93;239;1260;225;87;4;6;50;372
109;4;93;240;1180;194;86;13;18;77;388
110;28;93;243;1384;237;107;3;6;52;405
111;35;93;249;1260;230;87;7;7;55;386
112;5;93;250;1244;182;100;4;15;86;387
113;8;93;252;1023;162;85;5;5;64;321
114;35;93;257;1260;218;88;4;10;53;373
115;2;93;259;1031;206;91;4;9;52;362
116;8;93;260;1023;173;80;2;9;81;345
117;35;93;264;1260;225;93;3;7;48;376
118;5;93;265;1244;177;110;5;13;80;385
119;35;93;273;1260;242;67;7;4;54;374
120;3;93;274;1058;196;100;5;13;80;394
121;28;93;277;1384;257;80;5;9;51;402
122;4;93;278;1180;195;72;10;14;95;386
123;5;93;280;1244;197;96;4;14;72;383
124;2;93;284;1031;162;109;5;7;78;361
125;35;93;287;1260;221;85;8;17;39;370
126;7;93;290;1147;211;93;5;11;56;376
127;5;93;299;1244;189;117;5;11;64;386
128;35;93;300;1260;221;88;6;7;49;371
129;28;93;310;1384;235;86;4;12;61;398
130;6;93;314;1090;172;77;3;0;49;301
131;9;93;315;1155;181;97;6;16;55;355
132;28;93;319;1384;212;97;10;9;62;390
133;5;93;325;1244;207;95;6;13;67;388
134;4;93;331;1180;195;92;2;17;78;384
135;2;93;332;1031;186;92;3;7;65;353
136;35;93;335;1260;205;105;5;13;46;374
137;35;93;339;1260;195;101;4;14;62;376
138;3;93;340;1058;170;89;5;6;73;343
139;5;93;344;1244;190;119;7;5;63;384
140;1;93;350;1457;205;112;4;11;63;395
141;35;93;355;1260;170;114;3;11;74;372
142;28;93;357;1384;207;98;5;21;60;391
143;8;93;358;1023;132;85;7;6;89;319
144;2;93;365;1031;163;111;8;8;95;385
145;4;93;368;1180;217;76;5;9;84;391
146;5;93;369;1244;185;105;8;10;78;386
147;35;93;370;1260;185;123;6;12;59;385
148;1;93;374;1457;198;126;4;8;56;392
149;28;93;382;1384;206;112;5;8;56;387
150;35;93;385;1260;221;96;5;10;45;377
151;1;93;397;1457;203;101;9;16;64;393
152;2;93;398;1031;173;113;1;16;65;368
153;21;93;401;1503;185;103;12;15;50;365
154;4;93;402;1180;202;89;10;14;76;391
155;28;93;407;1384;219;95;3;13;66;396
156;30;93;409;1546;147;96;7;8;70;328
157;12;93;411;1589;138;54;4;4;102;302
158;12;93;412;1589;150;43;4;5;101;303
159;12;93;413;1589;146;60;2;5;89;302
